,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
48,Port Elizabeth,1,US,1554942032,43,39.31,-74.98,59.0,6.73
49,Vao,88,EE,1554942034,79,59.1,26.19,29.52,7.63
50,Opuwo,36,NA,1554942035,69,-18.06,13.84,64.35,1.36
51,Hanzhong,0,CN,1554942037,82,33.08,107.03,48.15,3.15
52,Kodiak,1,US,1554942031,44,39.95,-94.76,82.4,10.29
53,Thompson,75,CA,1554937200,27,55.74,-97.86,39.2,4.7
54,Leningradskiy,8,RU,1554942043,94,69.38,178.42,2.79,18.7
55,Imbituba,0,BR,1554937200,83,-28.24,-48.67,69.8,7.74
56,Faanui,68,PF,1554942047,100,-16.48,-151.75,81.9,7.96
57,San Jeronimo,36,PE,1554942049,91,-13.65,-73.37,46.98,0.92
58,Lasa,40,CY,1554940200,76,34.92,32.53,57.2,2.24
59,Great Yarmouth,0,GB,1554941885,69,52.61,1.73,42.01,8.05
60,Port Alfred,0,ZA,1554941799,95,-33.59,26.89,62.01,1.01
61,Houston,1,US,1554941753,47,29.76,-95.37,82.99,4.7
62,Ca Mau,80,VN,1554942057,97,9.18,105.15,79.83,5.28
63,Cape Town,75,ZA,1554941766,93,-33.93,18.42,63.0,1.12
64,Havelock,1,US,1554942002,42,34.88,-76.9,66.2,6.93
65,Aklavik,20,CA,1554937200,57,68.22,-135.01,19.4,2.24
66,Atuona,76,PF,1554942064,100,-9.8,-139.03,81.27,10.42
67,Kruisfontein,0,ZA,1554942066,81,-34.0,24.73,61.92,5.06
68,Avarua,12,CK,1554940800,74,-21.21,-159.78,80.6,11.41
69,Palmerston,75,CA,1554941882,48,43.83,-80.85,41.0,10.29
70,Tayu,20,JP,1554942056,54,35.06,136.67,59.0,28.86
71,Kapaa,40,US,1554941794,61,22.08,-159.32,82.4,18.34
72,Vallenar,0,CL,1554942075,91,-28.58,-70.76,57.69,1.03
73,Saint George,20,GR,1554940200,71,39.45,22.34,55.4,4.7
74,Cabo San Lucas,5,MX,1554941797,19,22.89,-109.91,91.0,9.98
75,Omboue,92,GA,1554942081,100,-1.57,9.26,83.43,5.39
76,Khatanga,64,RU,1554942083,77,71.98,102.47,-0.72,9.75
77,Lebu,12,ET,1554942084,80,8.96,38.73,52.11,3.94
78,Karpathos,0,GR,1554940200,76,35.51,27.21,57.2,2.24
79,Carnarvon,0,ZA,1554942087,62,-30.97,22.13,56.79,10.31
80,Moose Factory,90,CA,1554937200,73,51.26,-80.61,21.2,9.17
81,Georgetown,40,GY,1554937200,83,6.8,-58.16,80.6,11.41
82,Hofn,92,IS,1554942126,99,64.25,-15.21,40.23,3.6
83,Kaeo,92,NZ,1554942128,100,-35.1,173.78,62.37,15.79
84,Ulladulla,20,AU,1554941802,67,-35.36,150.48,63.0,4.7
85,San Ramon,75,NI,1554941970,65,12.92,-85.84,77.0,1.48
86,Yellowknife,40,CA,1554940324,45,62.45,-114.38,48.2,2.24
87,Ancud,90,CL,1554937200,81,-41.87,-73.83,50.0,10.29
88,Torbay,90,CA,1554941903,85,47.66,-52.73,35.01,8.05
89,Hilo,75,US,1554941964,69,19.71,-155.08,77.0,3.36
90,Qaanaaq,56,GL,1554942146,87,77.48,-69.36,11.43,3.38
91,Dhidhdhoo,0,MV,1554942148,100,6.88,73.1,84.6,2.71
92,Mahebourg,40,MU,1554940800,88,-20.41,57.7,77.0,6.93
93,Iqaluit,20,CA,1554942122,77,63.75,-68.52,3.2,23.04
94,Bethel,1,US,1554940560,43,60.79,-161.76,50.0,10.29
95,Cherskiy,0,RU,1554942163,75,68.75,161.3,24.48,2.59
96,Vaini,0,IN,1554942179,90,15.34,74.49,65.52,0.13
97,Sioux Lookout,40,CA,1554937200,45,50.1,-91.92,32.0,6.93
98,Airai,32,TL,1554942183,88,-8.93,125.41,74.7,1.92
99,Pacifica,20,US,1554941957,49,37.61,-122.49,70.0,13.87
100,Twentynine Palms,1,US,1554942003,5,34.14,-116.05,87.8,29.97
101,Busselton,92,AU,1554942184,65,-33.64,115.35,64.0,9.64
102,Kutum,0,SD,1554942192,25,14.2,24.66,69.12,8.86
103,Ayat,12,ET,1554942195,80,9.03,38.85,52.11,3.94
104,Antalaha,20,MG,1554942199,95,-14.9,50.28,76.32,8.41
105,Dicabisagan,12,PH,1554942201,97,17.08,122.42,79.47,5.5
106,Laguna,5,MX,1554939840,29,27.52,-110.01,78.8,11.41
107,Coquimbo,0,CL,1554937200,82,-29.95,-71.34,59.0,5.82
108,Butaritari,80,KI,1554942206,100,3.07,172.79,81.09,11.99
109,Dikson,64,RU,1554942208,100,73.51,80.55,8.73,9.42
110,Vardo,20,US,1554942200,33,39.62,-77.74,61.0,6.93
111,Hasaki,20,JP,1554941542,66,35.73,140.83,50.0,20.8
112,Sao Jose da Coroa Grande,20,BR,1554942213,91,-8.9,-35.15,77.49,5.73
113,Rodrigues Alves,0,BR,1554940800,88,-7.74,-72.65,78.8,3.27
114,Bjornevatn,80,NO,1554940200,77,69.67,29.98,32.0,19.46
115,Shimoda,75,JP,1554942012,62,34.7,138.93,57.2,12.75
116,Sikonge,20,TZ,1554937200,100,-5.63,32.75,66.2,1.7
117,East London,0,ZA,1554942222,96,-33.02,27.91,74.43,24.52
118,Nanortalik,32,GL,1554942223,90,60.14,-45.24,33.66,16.02
119,Baghdad,0,IQ,1554940800,68,33.3,44.38,68.0,8.05
120,Ostrovnoy,68,RU,1554942063,86,68.05,39.51,18.72,7.4
121,Gerede,24,TR,1554942229,94,40.8,32.2,35.37,4.61
122,Castro,90,CL,1554940800,81,-42.48,-73.76,50.0,8.05
123,Sitka,12,US,1554942233,16,37.17,-99.65,84.87,32.01
124,Talcahuano,0,CL,1554940800,82,-36.72,-73.12,59.0,11.41
125,Xiongyue,20,CN,1554942236,36,40.18,122.12,48.87,3.15
126,Vestmannaeyjar,12,IS,1554942238,89,63.44,-20.27,41.49,19.26
127,Esperance,20,TT,1554942008,83,10.24,-61.45,80.01,6.93
128,Bilibino,0,RU,1554942242,70,68.06,166.44,20.16,3.15
129,Hede,32,SE,1554942198,92,60.45,15.49,26.01,6.93
130,Forestville,75,CA,1554937200,55,48.74,-69.09,35.6,8.05
131,Khash,48,IR,1554942246,59,28.22,61.21,58.23,6.73
132,Valleyview,56,CA,1554942247,55,55.07,-117.28,51.3,4.61
133,Yar-Sale,0,RU,1554942249,75,66.83,70.83,5.58,12.44
134,Conceicao das Alagoas,36,BR,1554942038,82,-19.91,-48.39,70.92,5.5
135,Narsaq,0,GL,1554940200,36,60.91,-46.05,44.6,20.8
136,Micheweni,80,TZ,1554942254,100,-4.97,39.83,79.92,5.06
137,Pontianak,75,ID,1554939000,94,-0.02,109.34,77.0,4.7
138,Takoradi,8,GH,1554942257,97,4.89,-1.75,81.72,6.73
139,Tasiilaq,92,GL,1554940200,90,65.61,-37.64,37.4,29.97
140,Karlshamn,56,SE,1554940881,69,56.17,14.86,33.01,5.82
141,Kyshtovka,12,RU,1554942262,80,56.56,76.62,23.22,9.08
142,Les Cayes,0,HT,1554942264,99,18.19,-73.75,79.02,9.64
143,Puerto Ayora,75,EC,1554940803,78,-0.74,-90.35,80.6,12.75
144,Salalah,20,OM,1554940200,78,17.01,54.1,78.8,2.24
145,Alpena,1,US,1554941975,40,45.06,-83.43,36.0,5.82
146,Bluff,0,AU,1554942271,52,-23.58,149.07,78.39,12.77
147,Kahului,40,US,1554942044,51,20.89,-156.47,84.2,26.4
148,Aden,8,YE,1554942275,98,12.79,45.03,80.64,17.69
149,Salina,1,US,1554942272,30,36.29,-95.15,84.0,19.46
150,Comodoro Rivadavia,0,AR,1554940800,71,-45.87,-67.48,50.0,10.2
151,Pundaguitan,48,PH,1554942280,99,6.37,126.17,81.54,4.61
152,Pocoes,0,BR,1554940800,83,-14.53,-40.37,73.4,6.93
153,Cockburn Town,20,TC,1554942283,95,21.46,-71.14,80.1,8.19
154,Maumere,32,ID,1554942284,100,-8.63,122.22,80.82,1.48
155,Foso,0,GH,1554942286,92,5.7,-1.29,75.24,4.16
156,Seoul,90,KR,1554941400,93,37.57,126.98,48.2,4.7
157,Mar del Plata,0,AR,1554942289,84,-46.43,-67.52,49.59,6.96
158,Khani,75,GE,1554940800,87,41.96,42.96,51.8,2.24
159,Mincivan,12,AZ,1554942292,70,39.03,46.72,44.28,3.15
160,Vrangel,0,RU,1554942296,84,42.73,133.08,41.31,4.94
161,Victoria,75,BN,1554939000,88,5.28,115.24,80.6,4.5
162,Chokurdakh,0,RU,1554942300,100,70.62,147.9,11.16,5.61
163,Alofi,40,NU,1554940800,70,-19.06,-169.92,86.0,8.05
164,Anadyr,0,RU,1554942147,85,64.73,177.51,12.2,8.95
165,Libreville,40,GA,1554940800,83,0.39,9.45,84.2,6.93
166,Darhan,8,MN,1554942082,44,49.49,105.92,36.9,7.96
167,La Tuque,68,CA,1554942308,61,47.44,-72.79,29.79,7.18
168,Dukat,92,RS,1554942155,91,42.44,22.31,48.0,1.99
169,Faya,0,SA,1554940800,51,18.39,42.45,64.4,2.48
170,Toyoshina,75,JP,1554942105,69,36.3,137.9,45.0,12.75
171,Kuryk,12,KZ,1554942314,76,43.18,51.68,54.27,8.63
172,Saiha,0,IN,1554942316,92,22.49,92.98,63.0,1.48
173,Yeppoon,75,AU,1554939000,57,-23.13,150.74,80.6,16.11
174,Roald,0,NO,1554942303,68,62.58,6.12,33.01,6.93
175,Barrow,92,AR,1554942320,92,-38.31,-60.23,58.32,10.65
176,Lata,0,IN,1554942322,67,30.78,78.62,45.45,2.93
177,Tadine,92,NC,1554942324,100,-21.55,167.88,74.7,7.4
178,Mulchen,0,CL,1554942325,83,-37.72,-72.23,53.1,5.06
179,Iturama,0,BR,1554942328,74,-19.73,-50.2,74.43,4.38
180,Takab,44,IR,1554942329,84,36.4,47.11,33.21,2.93
181,Ballina,80,IE,1554942127,76,54.11,-9.15,48.0,7.0
182,Saldanha,0,PT,1554942332,84,41.42,-6.55,36.0,4.72
183,Atar,0,MR,1554942334,21,20.52,-13.05,62.64,7.18
184,Kedrovyy,0,RU,1554940800,49,56.17,91.82,24.8,11.18
185,Paamiut,48,GL,1554942339,68,61.99,-49.67,40.68,13.78
186,Jining,76,CN,1554942341,85,35.41,116.58,50.58,4.38
187,Nipawin,1,CA,1554940800,64,53.36,-104.02,37.4,5.82
188,Provideniya,75,RU,1554940800,73,64.42,-173.23,21.2,11.18
189,Taltal,0,CL,1554942347,96,-25.41,-70.49,59.04,2.15
190,Petropavlovsk-Kamchatskiy,75,RU,1554940800,64,53.05,158.65,33.8,4.47
191,Kirakira,80,SB,1554942350,100,-10.46,161.92,83.79,11.99
192,Landerneau,44,FR,1554942185,86,48.45,-4.26,46.99,3.36
193,Pisco,0,PE,1554940800,73,-13.71,-76.2,69.8,16.11
194,Itarema,32,BR,1554942355,93,-2.92,-39.92,77.49,4.27
195,Ovalle,0,CL,1554942122,90,-30.6,-71.2,59.13,2.93
196,Clyde River,75,CA,1554940800,84,70.47,-68.59,5.0,1.7
197,Arraial do Cabo,92,BR,1554942359,97,-22.97,-42.02,75.87,9.75
198,Muros,40,ES,1554942358,100,42.77,-9.06,48.99,4.7
199,Dunedin,44,NZ,1554942079,67,-45.87,170.5,57.0,5.99
200,Itaituba,0,BR,1554942364,93,-4.26,-55.99,76.59,1.92
201,Mandali,8,IQ,1554942366,52,33.75,45.55,63.72,4.38
202,Richards Bay,0,ZA,1554942368,99,-28.77,32.06,64.44,2.37
203,Kavieng,80,PG,1554942370,100,-2.57,150.8,83.79,1.92
204,Arlit,0,NE,1554942371,25,18.74,7.39,65.88,3.71
205,Romny,56,UA,1554942373,75,50.74,33.49,50.4,7.63
206,Seminole,90,US,1554942022,8,32.72,-102.64,84.2,33.33
207,Havre-Saint-Pierre,75,CA,1554940800,55,50.23,-63.6,37.4,14.99
208,Dwarka,20,IN,1554940800,53,28.58,77.04,77.0,3.71
209,Verkhniy Kurkuzhin,90,RU,1554940800,87,43.69,43.28,50.0,4.47
210,Honningsvag,92,NO,1554942135,98,70.98,25.97,33.75,20.38
211,Novyy Urengoy,48,RU,1554942382,75,66.08,76.63,5.49,8.19
212,Junin,0,PE,1554940800,62,-16.45,-71.58,57.2,2.48
213,Haines Junction,8,CA,1554942385,48,60.75,-137.51,38.52,2.93
214,Taoudenni,0,ML,1554942387,25,22.68,-3.98,62.73,10.65
215,Pitkyaranta,88,RU,1554942389,82,61.57,31.48,27.54,7.85
216,Port Hardy,75,CA,1554939000,93,50.7,-127.42,44.6,3.36
217,Prado,88,BR,1554942277,100,-17.34,-39.22,77.13,4.16
218,Nhulunbuy,40,AU,1554939000,66,-12.18,136.78,84.2,11.41
219,San Patricio,56,PY,1554942395,77,-26.98,-56.83,72.63,3.83
220,Thinadhoo,36,MV,1554942397,100,0.53,72.93,83.43,3.27
221,Goksun,20,TR,1554940200,81,38.02,36.5,48.2,3.36
222,Tashtagol,0,RU,1554942400,69,52.76,87.85,14.22,2.26
223,Severo-Kurilsk,76,RU,1554942402,98,50.68,156.12,30.87,3.6
224,Grindavik,90,IS,1554942118,81,63.84,-22.43,45.0,27.51
225,North Bend,90,US,1554942334,87,43.41,-124.22,51.8,8.05
226,Saint Anthony,90,US,1554942328,42,43.97,-111.68,46.4,12.75
227,Anqiu,80,CN,1554942408,47,36.48,119.21,48.87,4.5
228,Vanavara,64,RU,1554942410,50,60.35,102.28,15.75,11.99
229,Lorengau,12,PG,1554942411,98,-2.02,147.27,83.79,3.38
230,Bambous Virieux,40,MU,1554940800,88,-20.34,57.76,77.0,6.93
231,Novyy Urgal,0,RU,1554942414,53,51.07,132.56,41.04,3.94
232,Anqing,76,CN,1554942416,99,30.51,117.04,52.38,9.98
233,Severomuysk,76,RU,1554942417,74,56.17,113.57,23.85,3.6
234,Caravelas,88,BR,1554942419,100,-17.73,-39.27,79.65,9.86
235,Kristianstad,80,SE,1554941708,100,56.03,14.16,33.01,2.24
236,Volkhov,88,RU,1554942130,98,59.92,32.34,30.0,4.72
237,Lucea,75,JM,1554941817,74,18.44,-78.17,80.6,4.7
238,Nogales,1,US,1554942365,7,31.34,-110.94,66.0,18.34
239,Khuzdar,12,PK,1554942427,84,27.8,66.62,55.35,3.38
240,San Quintin,0,PH,1554942429,84,17.54,120.52,79.02,3.71
241,Souillac,90,FR,1554942345,93,45.6,-0.6,48.99,6.93
242,Byron Bay,90,AU,1554942142,82,-28.65,153.62,73.99,13.87
243,Jimenez,40,PA,1554940800,94,8.54,-82.37,75.2,4.7
244,Satipo,8,PE,1554942435,74,-11.26,-74.64,70.83,1.81
245,Ribeira Grande,92,PT,1554942437,97,38.52,-28.7,62.37,15.46
246,Sobolevo,20,RU,1554942438,78,54.43,31.9,26.64,2.93
247,Ponta do Sol,56,BR,1554942440,87,-20.63,-46.0,66.24,5.17
248,Labuhan,80,ID,1554942442,90,-2.54,115.51,76.86,3.15
249,Broken Hill,0,AU,1554940800,38,-31.97,141.45,60.8,12.75
250,Lakatoro,92,VU,1554942445,91,-16.11,167.42,83.52,3.71
251,Shebalino,64,RU,1554942447,82,51.29,85.68,22.14,2.15
252,Saint-Joseph,0,FR,1554942027,93,43.56,6.97,51.8,4.7
253,Dickinson,90,US,1554942107,58,46.88,-102.79,30.99,17.22
254,Fairbanks,90,US,1554942143,58,64.84,-147.72,54.0,9.17
255,Altamira,56,BR,1554942453,94,-3.2,-52.21,75.6,2.48
256,Rosa Zarate,56,EC,1554942455,85,0.33,-79.47,78.12,3.38
257,Piacabucu,8,BR,1554942456,74,-10.41,-36.43,80.73,9.75
258,Yarega,92,RU,1554942458,95,63.43,53.58,33.12,6.96
259,Buala,80,SB,1554942460,88,-8.15,159.59,83.7,12.66
260,Te Anau,36,NZ,1554942461,85,-45.41,167.72,48.15,3.6
261,Simao,0,CN,1554942463,77,22.76,100.79,58.23,2.15
262,General Roca,0,AR,1554940800,55,-39.03,-67.58,66.2,6.93
263,Linares,0,CL,1554942466,71,-35.85,-71.6,50.4,2.37
264,Jumla,0,NP,1554942467,77,29.28,82.18,29.97,2.59
265,Nova Soure,12,BR,1554942469,77,-11.24,-38.48,78.12,8.75
266,Chelno-Vershiny,24,RU,1554942470,76,54.42,51.08,40.32,7.18
267,Rio Gallegos,0,AR,1554940800,76,-51.62,-69.22,50.0,23.04
268,Ugoofaaru,0,MV,1554942473,100,5.67,73.0,84.87,3.04
269,Cayenne,40,GF,1554940800,83,4.94,-52.33,78.8,3.36
270,Cidreira,0,BR,1554942476,84,-30.17,-50.22,69.75,13.0
271,Oktyabrskoye,0,RU,1554942331,72,56.73,85.44,25.0,4.47
272,Vilyuysk,76,RU,1554942479,77,63.75,121.63,34.92,6.73
273,Alta Floresta,56,BR,1554942481,92,-9.87,-56.08,76.5,2.15
274,Kihei,40,US,1554942276,51,20.76,-156.45,84.2,26.4
275,Sinnamary,92,GF,1554942484,100,5.38,-52.96,78.57,9.86
276,Fukue,20,JP,1554942356,54,35.03,136.69,59.0,28.86
277,Nobeoka,8,JP,1554942395,77,32.66,131.66,48.0,1.01
278,Bud,0,NO,1554941806,58,62.91,6.91,32.0,6.93
279,Esna,92,RO,1554942491,98,45.2,27.57,52.02,3.15
280,Tignere,32,CM,1554942493,87,7.37,12.65,64.17,3.15
281,Ingham,8,AU,1554942494,86,-18.65,146.16,79.83,11.65
282,Joshimath,8,IN,1554942496,96,30.57,79.57,9.99,1.48
283,Vostok,76,RU,1554942497,61,46.45,135.83,37.8,2.15
284,Touros,20,BR,1554940800,88,-5.2,-35.46,78.8,4.7
285,Zhangjiakou,88,CN,1554942500,94,40.77,114.88,34.74,3.94
286,Eyl,88,SO,1554942502,100,7.98,49.82,79.65,6.17
287,Saint-Denis,0,FR,1554942455,70,48.94,2.36,48.0,9.17
288,Bastia,0,IT,1554942487,76,44.6,8.98,53.6,5.82
289,Kaitangata,12,NZ,1554942458,67,-46.28,169.85,55.0,4.0
290,Ahipara,68,NZ,1554942509,100,-35.17,173.16,62.19,14.0
291,Gushikawa,90,JP,1554942147,73,26.35,127.87,69.8,3.36
292,Kualakapuas,20,ID,1554940800,94,-3.01,114.39,80.6,4.7
293,Shingu,40,JP,1554940800,50,33.72,135.99,55.4,18.34
294,Maceio,0,BR,1554940800,83,-9.67,-35.74,77.0,4.7
295,Bom Jesus,20,BR,1554940800,88,-5.99,-35.58,80.6,4.7
296,Aspindza,32,GE,1554942519,91,41.57,43.25,32.22,2.93
297,Tessalit,0,ML,1554942520,24,20.2,1.01,55.98,3.38
298,Husavik,0,CA,1554942292,32,50.56,-96.99,41.0,7.0
299,Birao,12,CF,1554942524,48,10.3,22.78,82.53,13.0
300,Changde,92,CN,1554942525,100,29.04,111.68,50.13,4.16
301,Vanimo,76,PG,1554942527,100,-2.67,141.3,79.56,1.14
302,Am Timan,12,TD,1554942529,43,11.04,20.28,79.92,9.42
303,Kathmandu,75,NP,1554942000,93,27.71,85.32,59.0,3.36
304,Gucheng,36,CN,1554942532,100,32.27,111.65,46.53,4.05
305,Benghazi,0,LY,1554942484,87,32.12,20.07,65.7,17.69
306,Hovd,0,NO,1554942517,62,63.83,10.7,30.0,8.05
307,Dzilam Gonzalez,0,MX,1554942537,34,21.28,-88.93,84.42,4.61
308,Bajil,0,ES,1554942538,76,38.23,-2.07,45.0,9.98
309,General Higinio Morinigo,24,PY,1554942540,87,-25.95,-55.92,70.92,1.92
310,Henties Bay,8,NA,1554940922,93,-22.12,14.28,57.0,3.94
311,Bonthe,0,SL,1554942544,89,7.53,-12.5,80.46,5.17
312,Honiara,92,SB,1554942546,100,-9.43,159.96,78.03,2.93
313,Greenwood,0,US,1554942391,11,32.03,-101.9,91.4,23.04
314,Baruun-Urt,0,MN,1554942550,33,46.68,113.28,33.39,12.33
315,Hamilton,90,BM,1554941739,94,32.3,-64.78,71.6,17.22
316,Kapit,88,MY,1554942553,94,2.02,112.94,74.25,2.71
317,Talnakh,56,RU,1554942555,88,69.49,88.39,7.83,8.52
318,Half Moon Bay,40,US,1554942546,51,37.46,-122.43,71.01,25.28
319,Antofagasta,40,CL,1554940800,77,-23.65,-70.4,62.6,8.05
320,Rincon,75,US,1554942249,82,32.3,-81.24,75.2,9.17
321,Assiniboia,44,CA,1554942563,69,49.63,-105.99,40.68,9.42
322,Pacific Grove,20,US,1554942561,62,36.62,-121.92,72.0,10.29
323,Bukan,32,IR,1554942274,94,36.52,46.21,43.02,4.61
324,Nabire,8,ID,1554942568,84,-3.36,135.5,77.67,1.48
325,Juegang,76,CN,1554942267,72,32.31,121.18,51.01,7.74
326,Puerto Madryn,0,AR,1554942402,93,-42.77,-65.04,56.52,8.3
327,Dakar,0,SN,1554940800,88,14.69,-17.45,68.0,9.17
328,Adrar,0,DZ,1554937200,15,27.87,-0.29,69.8,8.05
329,San Lorenzo,0,PY,1554940800,83,-25.34,-57.51,71.6,3.6
330,Ahtopol,90,BG,1554941737,100,42.1,27.94,50.0,6.93
331,Mackenzie,20,CA,1554937200,48,55.34,-123.09,44.6,5.82
332,Lujan,0,AR,1554942583,56,-46.57,-67.67,50.85,11.21
333,Necochea,80,AR,1554942369,94,-38.55,-58.74,58.86,11.65
334,Tevaitoa,64,PF,1554942587,100,-16.78,-151.5,82.89,10.87
335,Monte Alegre,88,BR,1554942589,95,-2.0,-54.07,74.79,1.59
336,Nome,1,US,1554942583,61,30.04,-94.42,77.0,10.29
337,Berlevag,92,NO,1554942592,100,70.86,29.09,33.93,15.68
338,Ilulissat,20,GL,1554940200,79,69.22,-51.1,26.6,3.36
339,Kafanchan,20,NG,1554942596,90,9.58,8.3,69.75,2.59
340,Coihaique,0,CL,1554940800,81,-45.58,-72.07,50.0,3.36
341,Surt,12,LY,1554942599,67,31.21,16.59,62.37,12.1
342,Swan River,64,CA,1554942601,66,52.11,-101.27,33.12,6.73
343,Estrela,48,BR,1554942516,94,-29.5,-51.96,66.0,2.93
344,Lieksa,88,FI,1554942606,70,63.32,30.02,25.92,8.41
345,Todos Santos,5,MX,1554941797,14,23.45,-110.23,91.0,10.29
346,Oksovskiy,80,RU,1554942610,98,62.61,39.91,32.22,6.73
347,Sorland,0,NO,1554942612,100,67.67,12.69,33.39,1.7
348,Turtas,56,RU,1554942614,84,58.94,69.13,29.7,3.15
349,Longonjo,56,AO,1554942615,97,-12.91,15.25,60.3,2.04
350,Jagdalpur,0,IN,1554942617,75,19.09,82.02,68.22,7.63
351,Yilan,75,TW,1554942580,78,24.75,121.75,75.0,13.87
352,Khandbari,12,NP,1554942620,66,27.38,87.21,33.3,1.7
353,Port Lincoln,0,AU,1554942529,95,-34.72,135.86,61.92,10.2
354,Palmer,0,AU,1554942604,39,-34.85,139.16,64.0,10.29
355,Flinders,40,AU,1554942617,55,-34.58,150.85,66.99,5.82
356,San Cristobal,75,EC,1554942621,93,-0.39,-78.55,59.0,5.82
357,Port Hawkesbury,90,CA,1554942624,79,45.62,-61.36,30.99,8.05
358,Ukiah,1,US,1554942627,42,39.15,-123.21,69.01,11.41
359,Port-Gentil,40,GA,1554937200,83,-0.72,8.78,84.2,5.82
360,Yeniseysk,36,RU,1554942634,68,58.45,92.17,20.43,6.96
361,Aksay,0,RU,1554940800,87,47.27,39.86,51.8,2.24
362,Mouila,88,GA,1554942637,98,-1.86,11.06,75.69,2.26
363,Lompoc,1,US,1554942635,55,34.64,-120.46,71.6,18.34
364,Melilla,40,EC,1554940800,69,-0.8,-80.23,80.6,5.82
365,Lavrentiya,0,RU,1554942643,100,65.58,-170.99,17.55,5.5
366,Khartoum,0,SD,1554942645,32,15.59,32.54,70.47,4.94
367,Lafiagi,64,NG,1554942646,65,8.85,5.42,83.43,6.29
368,Vuktyl,92,RU,1554942648,82,63.86,57.31,27.36,7.4
369,Coracora,80,PE,1554942650,92,-15.02,-73.78,45.63,2.15
370,Egvekinot,0,RU,1554942555,80,66.32,-179.17,9.18,3.6
371,Hammerfest,75,NO,1554940200,74,70.66,23.68,33.8,34.45
372,Menomonie,90,US,1554942645,76,44.88,-91.92,36.0,6.93
373,Klaksvik,64,FO,1554940200,98,62.23,-6.59,39.2,11.41
